,ID,Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ef_mean,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
0,0,Norway,69.09,66.6,67.83,68.54,68.38,63.22,64.33,67.77,67.93,62.4,66.60900000000001,Europe,28.0,15.0,73.4,82.4,86.3,95.8,57.1,25.3,96.6,85.5,57.8,75.4,84.0,75.0,60.0,3.0,47.8,22.0,39.03,49.894000000000005,5.347896,407.412,1.151,1.5606,66831.86883103964,3.4,2.168,4298.295454545454,41.3
1,1,Netherlands,67.93,66.19,70.58,72.16,70.31,66.32,68.99,71.45,70.27,65.2,68.94000000000001,Europe,16.0,9.0,76.8,88.9,72.8,90.6,51.7,47.7,95.3,80.5,60.1,80.4,84.0,90.0,80.0,3.0,52.0,25.0,38.75,41.73866666666667,17.33285,1005.34,1.811,2.2938,59686.83163018473,3.2,2.673,84215.60500000001,48.3
2,2,Denmark,66.58,65.15,70.05,71.15,67.34,67.96,69.3,69.93,67.87,63.2,67.85300000000001,Europe,10.0,5.0,77.8,86.7,86.9,93.4,43.7,23.1,98.2,88.8,73.8,84.5,84.0,90.0,80.0,3.0,56.0,22.0,44.86,50.625,5.818553,319.491,2.367,2.4768,59830.15424051389,4.9,0.729,930.2116366417021,30.3
3,3,Sweden,66.26,68.69,70.94,70.81,70.72,68.91,67.8,70.4,68.74,62.5,68.577,Europe,21.0,12.0,74.7,86.6,79.1,92.5,43.6,29.5,97.6,83.2,53.9,81.5,84.0,85.0,80.0,3.0,57.0,21.4,43.93,48.464666666666666,10.285453,564.771,1.232,2.5405999999999995,55814.51265352722,6.5,1.699,20567.96375689206,34.8
4,4,Finland,61.25,62.63,65.32,66.61,65.86,64.37,64.4,65.83,65.34,63.1,64.47100000000002,Europe,17.0,10.0,76.1,91.9,82.2,97.2,68.0,14.3,91.4,85.8,50.5,83.3,84.0,85.0,80.0,3.0,31.25,20.0,42.66,53.43933333333333,5.520314,265.879,0.98,1.7932,51323.83337644421,6.6,1.137,8169.890739745657,59.7
5,5,Austria,58.58,62.66,61.97,62.13,63.13,62.14,63.21,62.18,64.11,62.3,62.240999999999985,Europe,25.0,13.0,73.9,86.8,83.5,84.8,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0,3.0,55.0,25.0,42.18,48.597,8.877067,476.812,1.585,1.9158000000000002,59110.56255908133,4.7,1.49,4642.622693892173,70.8
6,6,Belgium,57.23,58.74,59.13,60.9,63.52,62.46,61.21,61.58,63.09,61.2,60.90599999999999,Europe,37.0,22.0,70.1,84.0,70.2,81.3,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85.0,70.0,3.0,50.0,29.0,44.85,52.143,11.484055,572.902,1.365,1.6663999999999999,54545.15088450006,5.6,1.249,9706.922801361276,99.0
7,7,Germany,56.64,58.47,61.83,61.58,63.74,60.07,60.89,62.35,63.77,61.6,61.09400000000001,Europe,29.0,16.0,72.5,78.8,69.8,81.5,60.4,40.3,92.8,82.4,53.0,77.2,84.0,80.0,70.0,3.0,47.5,15.8,38.19,44.60966666666667,83.132799,4443.57,0.565,1.7047999999999999,56052.42206988559,3.0,1.346,36358.64118753358,59.8
8,8,Malaysia,55.54,58.99,60.3,60.7,59.32,57.95,59.73,61.07,58.55,54.7,58.685,Asia-Pacific,22.0,5.0,74.4,85.1,70.5,53.2,83.8,84.3,79.4,86.7,73.9,83.6,82.4,60.0,50.0,3.8,30.0,24.0,12.029692391138658,22.842333333333332,31.949777,1076.37,4.33,4.854000000000001,29525.577362934197,3.3,0.663,7650.474716751117,57.2
9,9,Poland,54.62,62.25,62.95,61.49,62.45,59.08,64.26,62.07,63.76,59.6,61.253,Europe,41.0,25.0,69.7,63.3,48.9,65.0,73.9,48.1,94.6,61.6,66.1,80.8,84.0,80.0,70.0,3.0,32.0,19.0,35.03,41.591,37.970874,1287.28,4.095,4.2168,34217.71571382176,3.5,2.308,13220.467888044424,46.7
